country,country_code,year,age65_pct
Austria,AUT,2010,17.6592449706019
Austria,AUT,2011,17.7360671109115
Austria,AUT,2012,17.9497049255533
Austria,AUT,2013,18.1994460470678
Austria,AUT,2014,18.3880563664351
Austria,AUT,2015,18.4613708048616
Austria,AUT,2016,18.4999156835518
Austria,AUT,2017,18.6103296736393
Austria,AUT,2018,18.7625828458159
Austria,AUT,2019,18.9402993578561
Austria,AUT,2020,19.169788839314
Austria,AUT,2021,19.462852720957
Austria,AUT,2022,19.7897509199721
Austria,AUT,2023,20.1640196753077
Austria,AUT,2024,20.6064031791903
Austria,AUT,2025,NA
Belgium,BEL,2010,17.1172634557158
Belgium,BEL,2011,17.2510605141588
Belgium,BEL,2012,17.4894292316249
Belgium,BEL,2013,17.7203816464754
Belgium,BEL,2014,17.9621509816265
Belgium,BEL,2015,18.1637094668899
Belgium,BEL,2016,18.356666180316
Belgium,BEL,2017,18.584903433857
Belgium,BEL,2018,18.8086209996758
Belgium,BEL,2019,19.029838081816
Belgium,BEL,2020,19.224020193227
Belgium,BEL,2021,19.4520520478909
Belgium,BEL,2022,19.7671927585206
Belgium,BEL,2023,20.1452749547016
Belgium,BEL,2024,20.5580809256443
Belgium,BEL,2025,NA
Bulgaria,BGR,2010,18.1472285711578
Bulgaria,BGR,2011,18.5190836074404
Bulgaria,BGR,2012,18.9492680312808
Bulgaria,BGR,2013,19.3546939511256
Bulgaria,BGR,2014,19.7757387242757
Bulgaria,BGR,2015,20.209781460636
Bulgaria,BGR,2016,20.576051633729602
Bulgaria,BGR,2017,20.8699557799437
Bulgaria,BGR,2018,21.1708879702475
Bulgaria,BGR,2019,21.4794589439076
Bulgaria,BGR,2020,21.6867892994918
Bulgaria,BGR,2021,21.7032217425472
Bulgaria,BGR,2022,21.6972972212748
Bulgaria,BGR,2023,21.8324383446666
Bulgaria,BGR,2024,22.0303362606903
Bulgaria,BGR,2025,NA
Croatia,HRV,2010,17.8775514569316
Croatia,HRV,2011,17.9482034299939
Croatia,HRV,2012,18.2004685581559
Croatia,HRV,2013,18.4765925399494
Croatia,HRV,2014,18.8122396153648
Croatia,HRV,2015,19.2311236257324
Croatia,HRV,2016,19.6581193481792
Croatia,HRV,2017,20.1354432241616
Croatia,HRV,2018,20.6682803013664
Croatia,HRV,2019,21.1822163945349
Croatia,HRV,2020,21.6661760190675
Croatia,HRV,2021,22.1006673274542
Croatia,HRV,2022,22.4847051223347
Croatia,HRV,2023,22.815365461733
Croatia,HRV,2024,23.1877713482095
Croatia,HRV,2025,NA
Cyprus,CYP,2010,11.3182862637672
Cyprus,CYP,2011,11.5524959823113
Cyprus,CYP,2012,11.7783896817994
Cyprus,CYP,2013,12.0174508719101
Cyprus,CYP,2014,12.2610616321095
Cyprus,CYP,2015,12.499902624146
Cyprus,CYP,2016,12.7306530327678
Cyprus,CYP,2017,12.9503446411893
Cyprus,CYP,2018,13.1664879646662
Cyprus,CYP,2019,13.3825533556934
Cyprus,CYP,2020,13.6112758903357
Cyprus,CYP,2021,13.8514250837978
Cyprus,CYP,2022,14.0779422699926
Cyprus,CYP,2023,14.3232720596026
Cyprus,CYP,2024,14.616184268068
Cyprus,CYP,2025,NA
Czechia,CZE,2010,15.4590024087743
Czechia,CZE,2011,15.8988256979579
Czechia,CZE,2012,16.5000497271668
Czechia,CZE,2013,17.0821590856387
Czechia,CZE,2014,17.6054939584589
Czechia,CZE,2015,18.0968797652582
Czechia,CZE,2016,18.5951592241056
Czechia,CZE,2017,19.085882000882
Czechia,CZE,2018,19.5315793430182
Czechia,CZE,2019,19.9485877378936
Czechia,CZE,2020,20.2939736426932
Czechia,CZE,2021,20.5371541683077
Czechia,CZE,2022,20.5183106530339
Czechia,CZE,2023,20.5459005583495
Czechia,CZE,2024,20.8453836809891
Czechia,CZE,2025,NA
Denmark,DNK,2010,16.5574489274022
Denmark,DNK,2011,17.0763558660448
Denmark,DNK,2012,17.6035443304634
Denmark,DNK,2013,18.0533476868912
Denmark,DNK,2014,18.4155552098464
Denmark,DNK,2015,18.7039395633233
Denmark,DNK,2016,18.9425702764271
Denmark,DNK,2017,19.1822684091773
Denmark,DNK,2018,19.4403886413888
Denmark,DNK,2019,19.7143802297606
Denmark,DNK,2020,20.0008145375227
Denmark,DNK,2021,20.2481262517018
Denmark,DNK,2022,20.4007400764725
Denmark,DNK,2023,20.6001829312424
Denmark,DNK,2024,20.8660704666167
Denmark,DNK,2025,NA
Estonia,EST,2010,17.4402915321171
Estonia,EST,2011,17.571641400301
Estonia,EST,2012,17.8628188378184
Estonia,EST,2013,18.1984559754977
